timestamp,parrafos_involucrados,tipo_punto,fuente_utilizada,anomalia_detectada,accion_tomada,resultado_validacion
"29:24.32","p322->p323","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"29:47.46","p325->p326","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"30:09.64","p328->p329","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"30:41.06","p333->p334","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"30:58.81","p335->p336","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"31:23.68","p340->p341","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"31:50.26","p344->p345","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"32:04.33","p346->p347","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"32:33.15","p350->p351","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"32:58.28","p355->p356","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"33:14.01","p357->p358","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"33:43.80","p361->p362","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"34:09.31","p366->p367","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"34:28.56","p370->p371","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"34:36.50","p371->p372","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"34:53.59","p373->p374","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"35:16.15","p376->p377","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"35:36.75","p382->p383","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"36:05.18","p389->p390","conocido+pausa","original","cola presente pero por debajo del umbral de deteccion automatica -- inconclusa","sin cambios, pendiente de confirmacion por oido","incluido en paquete de control para revision"
"36:25.15","p392->p393","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"36:55.72","p396->p397","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"37:18.97","p402->p403","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"37:26.61","p403->p404","aleatorio","original","ninguna detectada","sin cambios","OK"
"37:45.56","p408->p409","pausa+aleatorio","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"37:59.86","p410->p411","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"38:16.14","p412->p413","aleatorio","original","ninguna detectada","sin cambios","OK"
"38:30.17","p415->p416","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"38:58.75","p421->p422","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"39:33.83","p427->p428","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"40:07.38","p432->p433","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"40:33.77","p438->p439","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"40:54.65","p442->p443","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"41:08.54","p444->p445","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"41:27.98","p448->p449","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"41:48.17","p451->p452","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"42:08.56","p454->p455","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"42:29.33","p457->p458","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"42:47.93","p459->p460","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"43:19.24","p466->p467","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"43:46.21","p470->p471","pausa","regenerado","vocalizacion defectuosa en la generacion anterior (ya resuelta)","sustitucion por toma regenerada aprobada","confirmado limpio por oido"
"44:15.15","p476->p477","conocido+pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"44:30.39","p480->p481","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"44:50.65","p485->p486","aleatorio","original","ninguna detectada","sin cambios","OK"
"44:52.65","p486->p487","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"45:13.88","p491->p492","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"45:33.78","p497->p498","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"45:57.71","p504->p505","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"46:14.62","p506->p507","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"46:23.38","p509->p510","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"46:35.18","p512->p513","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"46:46.34","p514->p515","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"47:08.98","p521->p522","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"47:33.14","p526->p527","conocido+pausa","original","cola presente pero por debajo del umbral de deteccion automatica -- inconclusa","sin cambios, pendiente de confirmacion por oido","incluido en paquete de control para revision"
"47:52.47","p531->p532","pausa+aleatorio","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"48:20.71","p537->p538","pausa+aleatorio","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"48:31.70","p540->p541","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"48:36.42","p541->p542","conocido+pausa","original","cola presente pero por debajo del umbral de deteccion automatica -- inconclusa","sin cambios, pendiente de confirmacion por oido","incluido en paquete de control para revision"
